country	Argentina	#511EA8
country	Australia	#4334BF
country	Belgium	#4041C7
country	Brazil	#3F50CC
country	China	#416CCE
country	Germany	#4379CD
country	India	#4B8FC1
country	Iran	#5098B9
country	Italy	#56A0AF
country	Jordan	#5CA7A4
country	Kenya	#6BB18E
country	Latvia	#73B583
country	Mexico	#7CB878
country	Netherlands	#86BB6E
country	New_Zealand	#AFBD4F
country	Peru	#B9BC4A
country	Philippines	#C2BA46
country	South_Africa	#D3B240
country	South_Korea	#DAAC3D
country	Spain	#DFA43B
country	Thailand	#E39B39
country	United_Kingdom	#E68F36
country	USA	#E68234
country	Viet_Nam	#DC2F24
region	Africa	#86BB6E
region	Americas	#4379CD
region	Eastern_Mediterranean	#D3B240
region	Europe	#DC2F24
region	South-East_Asia	#511EA8
region	Western_Pacific	#E67431
subtype	BA	#86BB6E
subtype	BA9	#4379CD
subtype	GB2	#D3B240
subtype	GB12	#DC2F24
subtype	GB13	#511EA8
subtype	NA	#E67431
