country	Argentina	#511EA8
country	Australia	#4928B4
country	Belgium	#4334BF
country	Brazil	#3F50CC
country	China	#416CCE
country	Germany	#4379CD
country	Hong_Kong	#4B8FC1
country	India	#5098B9
country	Italy	#56A0AF
country	Jordan	#5CA7A4
country	Kenya	#63AC99
country	Mexico	#6BB18E
country	Netherlands	#73B583
country	New_Zealand	#7CB878
country	Peru	#86BB6E
country	Philippines	#A4BE56
country	South_Africa	#D3B240
country	South_Korea	#DAAC3D
country	USA	#E68F36
country	Viet_Nam	#DC2F24
region	Africa	#86BB6E
region	Americas	#4379CD
region	Eastern_Mediterranean	#D3B240
region	Europe	#DC2F24
region	South-East_Asia	#511EA8
region	Western_Pacific	#E67431
Genotype	GA5	#86BB6E
Genotype	GA7	#4379CD
Genotype	NA1	#D3B240
Genotype	GA2	#DC2F24
Genotype	ON1	#511EA8
Genotype	NA	#E67431
